nombre_cancion,nombre_artista,genero,mood,contexto,energia,valencia,danceability,instrumentalidad,intensidad,idioma
Bang Bang,K'NAAN,"['hip-hop', 'rap', 'urbano']","['euforico', 'feliz', 'alegre']","['fiesta', 'discoteca', 'social']",0.8,0.9,0.7,0.1,0.6,inglés
Barbie de extrarradio,Melendi,"['pop', 'urbano', 'latin']","['euforico', 'feliz', 'alegre']","['fiesta', 'discoteca', 'social']",0.8,0.9,0.7,0.1,0.6,español
BAYAMÓN,FloyyMenor,"['pop', 'urbano', 'latin']","['euforico', 'feliz', 'alegre']","['fiesta', 'discoteca', 'social']",0.8,0.9,0.7,0.1,0.6,español
Beanie,Chezile,['pop'],"['feliz', 'alegre']","['fiesta', 'discoteca']",0.8,0.9,0.7,0.1,0.6,otros
Beba,Klim,"['reggaeton', 'latin']","['feliz', 'alegre']","['fiesta', 'discoteca']",0.9,0.8,0.9,0.1,0.7,otros
Best Friend,Rex Orange County,"['indie', 'pop']","['feliz', 'alegre']","['fiesta', 'discoteca']",0.7,0.8,0.6,0.2,0.5,ingles
Bici Itaú,turrobaby,['pop'],"['feliz', 'alegre']","['fiesta', 'discoteca']",0.8,0.9,0.7,0.1,0.6,otros
Big Love - 2017 Remaster,Fleetwood Mac,['rock'],"['feliz', 'alegre']","['fiesta', 'discoteca']",0.7,0.8,0.6,0.2,0.5,ingles
BIGBANG (crunchtime),Stiffy,"['hip-hop', 'rap']","['feliz', 'alegre']","['fiesta', 'discoteca']",0.9,0.8,0.9,0.1,0.7,otros
Billie Jean,Michael Jackson,['pop'],"['feliz', 'alegre']","['fiesta', 'discoteca']",0.8,0.9,0.7,0.1,0.6,ingles
Blue Hair,TV Girl,"['indie', 'pop']","['feliz', 'alegre']","['fiesta', 'discoteca']",0.7,0.8,0.6,0.2,0.5,ingles
Bohemian Rhapsody,Queen,['rock'],"['feliz', 'alegre']","['fiesta', 'discoteca']",0.7,0.8,0.6,0.2,0.5,ingles
Bombon,Karina y Marina,"['reggaeton', 'latin']","['feliz', 'alegre']","['fiesta', 'discoteca']",0.9,0.8,0.9,0.1,0.7,otros
Bound 2,Kanye West,"['hip-hop', 'rap']","['energico', 'motivador']","['fiesta', 'discoteca']",0.8,0.6,0.9,0.2,0.7,inglés
Boys Don't Cry,The Cure,"['rock', 'alternativo']","['triste', 'melancolico']","['romance', 'cita']",0.4,0.3,0.2,0.8,0.5,inglés
Breezeblocks,alt-J,"['indie', 'alternativo']","['euforico', 'energico']","['fiesta', 'discoteca']",0.9,0.7,0.8,0.6,0.8,inglés
Brown Eyed Girl,Van Morrison,"['pop', 'rock']","['feliz', 'alegre']","['romance', 'cita']",0.6,0.5,0.5,0.4,0.4,inglés
Bubble Gum,Clairo,"['pop', 'indie']","['feliz', 'alegre']","['fiesta', 'discoteca']",0.7,0.6,0.6,0.5,0.5,inglés
Bugambilia,Nasa Histoires,"['reggaeton', 'urbano']","['energico', 'motivador']","['fiesta', 'discoteca']",0.9,0.7,0.9,0.3,0.8,español
Bullet Proof ... I Wish I Was,Radiohead,"['rock', 'alternativo']","['triste', 'melancolico']","['romance', 'cita']",0.4,0.3,0.2,0.8,0.5,inglés
Business,Eminem,"['hip-hop', 'rap']","['energico', 'motivador']","['fiesta', 'discoteca']",0.8,0.6,0.9,0.2,0.7,inglés
Caminando por la vida,Melendi,"['reggaeton', 'urbano']","['feliz', 'alegre']","['romance', 'cita']",0.6,0.5,0.5,0.4,0.4,español
Campana Sobre Campana,Coral Cordobesa De Los Pedroches,"['folk', 'acoustic']","['feliz', 'alegre']","['romance', 'cita']",0.4,0.3,0.2,0.8,0.3,español
Car's Outside,James Arthur,"['pop', 'rock', 'singer-songwriter']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.5,0.8,0.2,0.1,0.6,inglés
Cara de Boludo,turrobaby,"['reggaeton', 'urbano', 'latin']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.9,0.9,0.8,0.2,0.8,español
Chest Pain (I Love),Malcolm Todd,"['rock', 'metal', 'punk']","['agresivo', 'oscuro', 'intenso']","['gym', 'entrenar', 'fiesta']",0.8,0.4,0.6,0.5,0.9,inglés
CHICA ATRACTIVA,FloyyMenor,"['hip-hop', 'rap', 'trap']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.9,0.9,0.8,0.2,0.8,español
Chicago,Michael Jackson,"['pop', 'rock', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.9,0.9,0.8,0.2,0.8,inglés
Childhood,GiGi Waterproof,"['pop', 'rock', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['casa', 'relax', 'noche']",0.5,0.8,0.2,0.1,0.6,inglés
Cigarette Daydreams,Cage The Elephant,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.5,0.8,0.2,0.1,0.6,inglés
Cigarettes out the Window,TV Girl,"['indie', 'alternativo', 'punk']","['agresivo', 'oscuro', 'intenso']","['gym', 'entrenar', 'fiesta']",0.8,0.4,0.6,0.5,0.9,inglés
City Of Stars,Ryan Gosling,"['pop', 'rock', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.9,0.9,0.8,0.2,0.8,inglés
Close To Me,The Cure,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'romantico']","['casa', 'relax', 'noche']",0.5,0.8,0.2,0.1,0.6,inglés
Cloud 9,Beach Bunny,"['pop', 'indie', 'rock']","['feliz', 'euforico', 'alegre']","['fiesta', 'discoteca', 'verano']",0.8,0.9,0.7,0.1,0.6,inglés
COLMILLO,Tainy,"['reggaeton', 'urbano', 'latin']","['energico', 'motivador', 'fiestero']","['fiesta', 'discoteca', 'verano']",0.9,0.8,0.9,0.2,0.7,español
Come On Eileen,Dexys Midnight Runners,"['rock', 'pop', 'singer-songwriter']","['feliz', 'euforico', 'nostalgico']","['fiesta', 'discoteca', 'verano']",0.7,0.8,0.6,0.3,0.5,inglés
Committed,Rauw Alejandro,"['reggaeton', 'urbano', 'latin']","['energico', 'motivador', 'fiestero']","['fiesta', 'discoteca', 'verano']",0.9,0.8,0.9,0.2,0.7,español
Como Camarón,Estopa,"['latin', 'urbano', 'reggaeton']","['feliz', 'euforico', 'alegre']","['fiesta', 'discoteca', 'verano']",0.8,0.9,0.7,0.1,0.6,español
COQUETA,Fuerza Regida,"['reggaeton', 'urbano', 'latin']","['energico', 'motivador', 'fiestero']","['fiesta', 'discoteca', 'verano']",0.9,0.8,0.9,0.2,0.7,español
Creep,Radiohead,"['rock', 'alternativo', 'indie']","['triste', 'melancolico', 'oscuro']","['relax', 'casa', 'mañana']",0.4,0.3,0.2,0.6,0.2,inglés
Crying Lightning,Arctic Monkeys,"['rock', 'alternativo', 'indie']","['triste', 'melancolico', 'oscuro']","['relax', 'casa', 'mañana']",0.4,0.3,0.2,0.6,0.2,inglés
cómo dormiste?,Rels B,"['hip-hop', 'rap', 'urbano']","['energico', 'motivador', 'fiestero']","['fiesta', 'discoteca', 'verano']",0.9,0.8,0.9,0.2,0.7,español
Dancing Shoes,Arctic Monkeys,"['rock', 'alternativo', 'indie']","['feliz', 'euforico', 'alegre']","['fiesta', 'discoteca', 'verano']",0.8,0.9,0.7,0.1,0.6,inglés
Dark Red,Steve Lacy,"['indie', 'rock', 'alternativo']","['triste', 'melancolico', 'oscuro']","['casa', 'relax', 'noche']",0.5,0.2,0.1,0.8,0.6,inglés
Daytona,Cris Mj,"['hip-hop', 'rap', 'urbano']","['energico', 'motivador', 'epico']","['gym', 'entrenar', 'fiesta']",0.9,0.8,0.9,0.2,0.8,inglés
De Cote,turrobaby,"['reggaeton', 'latin', 'urbano']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'cita']",0.8,0.9,0.8,0.1,0.7,español
Deslocado,NAPA,"['hip-hop', 'rap', 'urbano']","['energico', 'motivador', 'epico']","['gym', 'entrenar', 'fiesta']",0.9,0.8,0.9,0.2,0.8,inglés
Después De La 1,Cris Mj,"['hip-hop', 'rap', 'urbano']","['energico', 'motivador', 'epico']","['gym', 'entrenar', 'fiesta']",0.9,0.8,0.9,0.2,0.8,inglés
Diablita,Karina y Marina,"['reggaeton', 'latin', 'urbano']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'cita']",0.8,0.9,0.8,0.1,0.7,español
Die With A Smile,Lady Gaga,"['pop', 'rock', 'alternativo']","['triste', 'melancolico', 'oscuro']","['casa', 'relax', 'noche']",0.5,0.2,0.1,0.8,0.6,inglés
Disco,Surf Curse,"['indie', 'rock', 'alternativo']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'cita']",0.8,0.9,0.8,0.1,0.7,inglés
Do I Wanna Know?,Arctic Monkeys,"['rock', 'alternativo', 'metal']","['triste', 'melancolico', 'oscuro']","['casa', 'relax', 'noche']",0.5,0.2,0.1,0.8,0.6,inglés
Do Me a Favour,Arctic Monkeys,"['rock', 'alternativo', 'metal']","['triste', 'melancolico', 'oscuro']","['casa', 'relax', 'noche']",0.5,0.2,0.1,0.8,0.6,inglés
Do Not Do Drugs,The Rare Occasions,['indie'],"['triste', 'melancolico']","['relax', 'noche']",0.2,0.8,0.1,0.5,0.3,inglés
Do You Remember,Xiyo,['reggaeton'],"['feliz', 'euforico']","['fiesta', 'discoteca']",0.9,0.9,0.8,0.2,0.6,inglés
Don't Go Breaking My Heart,Elton John,['pop'],"['romantico', 'amoroso']","['cita', 'romance']",0.4,0.9,0.2,0.6,0.4,inglés
Don't Stand So Close To Me,The Police,['rock'],"['triste', 'melancolico']","['relax', 'noche']",0.3,0.7,0.1,0.5,0.3,inglés
Don't Stop,Fleetwood Mac,['rock'],"['feliz', 'euforico']","['fiesta', 'discoteca']",0.8,0.9,0.7,0.3,0.5,inglés
Echoes,Pink Floyd,['rock'],"['triste', 'melancolico']","['relax', 'noche']",0.2,0.6,0.1,0.8,0.2,inglés
El Amar y el Querer,José José,['latin'],"['romantico', 'amoroso']","['cita', 'romance']",0.5,0.9,0.3,0.4,0.4,español
El Chiquirritin,Grupo Encanto,['latin'],"['feliz', 'euforico']","['fiesta', 'discoteca']",0.9,0.9,0.8,0.2,0.6,español
El Farsante,Ozuna,['reggaeton'],"['romantico', 'amoroso']","['cita', 'romance']",0.6,0.9,0.4,0.3,0.5,español
El Fin del Mundo,La La Love You,['electronic'],"['feliz', 'euforico']","['fiesta', 'discoteca']",0.9,0.9,0.8,0.2,0.6,inglés
End of Beginning,Djo,"['indie', 'rock', 'alternativo']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.5,0.3,0.2,0.8,0.7,inglés
Eventually,Tame Impala,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.6,0.4,0.3,0.9,0.8,inglés
Every Little Thing She Does Is Magic,The Police,"['rock', 'pop', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.8,0.9,0.9,0.1,0.6,inglés
Everywhere,Fleetwood Mac,"['rock', 'pop', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.7,0.8,0.8,0.2,0.5,inglés
Exit Music (For A Film),Radiohead,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.4,0.2,0.1,0.9,0.9,inglés
Fake Plastic Trees,Radiohead,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.5,0.3,0.2,0.8,0.7,inglés
Fake Tales Of San Francisco,Arctic Monkeys,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.6,0.4,0.3,0.9,0.8,inglés
Falling Behind,Laufey,"['jazz', 'blues', 'singer-songwriter']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.3,0.1,0.1,0.7,0.6,inglés
Feel Good Inc.,Gorillaz,"['electronic', 'hip-hop', 'rap']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.9,0.9,0.9,0.4,0.5,inglés
Feel It,d4vd,"['pop', 'singer-songwriter', 'r&b']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.8,0.8,0.8,0.3,0.4,inglés
Feliz Navidad,Los Villancicos,['latin'],"['feliz', 'alegre']","['fiesta', 'romance']",0.8,0.9,0.7,0.2,0.6,español
Fireside,Arctic Monkeys,"['rock', 'indie']","['triste', 'melancolico']","['noche', 'relax']",0.4,0.3,0.2,0.8,0.5,inglés
Fluorescent Adolescent,Arctic Monkeys,"['rock', 'indie']","['euforico', 'energico']","['fiesta', 'social']",0.9,0.8,0.8,0.6,0.7,inglés
Forever Young,Alphaville,"['pop', 'rock']","['nostalgico', 'romantico']","['romance', 'cita']",0.6,0.7,0.5,0.4,0.4,inglés
Freaks,Surf Curse,"['indie', 'rock']","['euforico', 'energico']","['fiesta', 'social']",0.9,0.8,0.8,0.6,0.7,inglés
Friday I'm In Love,The Cure,"['rock', 'pop']","['feliz', 'alegre']","['fiesta', 'romance']",0.8,0.9,0.7,0.2,0.6,inglés
Friends,Chase Atlantic,"['pop', 'rock']","['feliz', 'alegre']","['fiesta', 'social']",0.9,0.8,0.8,0.6,0.7,inglés
From The Ritz To The Rubble,Arctic Monkeys,"['rock', 'indie']","['triste', 'melancolico']","['noche', 'relax']",0.4,0.3,0.2,0.8,0.5,inglés
From The Start,Laufey,"['pop', 'jazz']","['romantico', 'amoroso']","['romance', 'cita']",0.6,0.7,0.5,0.4,0.4,inglés
Frozen,Cris MJ,"['pop', 'electronic']","['feliz', 'alegre']","['fiesta', 'social']",0.9,0.8,0.8,0.6,0.7,inglés
G WAGON,FloyyMenor,"['hip-hop', 'rap', 'trap']","['energico', 'motivador', 'epico']","['fiesta', 'discoteca', 'gym']",0.8,0.6,0.9,0.1,0.7,inglés
Gata Only (Remix),FloyyMenor,"['hip-hop', 'rap', 'trap']","['energico', 'motivador', 'epico']","['fiesta', 'discoteca', 'gym']",0.8,0.6,0.9,0.1,0.7,inglés
Gata Only,FloyyMenor,"['hip-hop', 'rap', 'trap']","['energico', 'motivador', 'epico']","['fiesta', 'discoteca', 'gym']",0.8,0.6,0.9,0.1,0.7,inglés
Godzilla (feat. Juice WRLD),Eminem,"['hip-hop', 'rap', 'rock']","['energico', 'motivador', 'epico']","['fiesta', 'discoteca', 'gym']",0.8,0.6,0.9,0.1,0.7,inglés
GOFUE,Stiffy,"['hip-hop', 'rap', 'trap']","['energico', 'motivador', 'epico']","['fiesta', 'discoteca', 'gym']",0.8,0.6,0.9,0.1,0.7,inglés
Gymnopédie No. 1,Erik Satie,"['classical', 'instrumental', 'jazz']","['relajado', 'calmado', 'chill']","['relax', 'casa', 'mañana']",0.2,0.4,0.1,0.9,0.3,francés
Gypsy,Fleetwood Mac,"['rock', 'pop', 'folk']","['romantico', 'amoroso', 'nostalgico']","['romance', 'cita', 'verano']",0.5,0.7,0.6,0.4,0.5,inglés
He's My Man,Luvcat,"['pop', 'rock', 'electronic']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'gym']",0.8,0.6,0.9,0.1,0.7,inglés
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,"['rock', 'pop', 'indie']","['triste', 'melancolico', 'nostalgico']","['tristeza', 'desamor', 'invierno']",0.3,0.4,0.2,0.6,0.4,inglés
Here With Me,d4vd,"['pop', 'rock', 'electronic']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'gym']",0.8,0.6,0.9,0.1,0.7,inglés
Heroes - 2017 Remaster,David Bowie,"['rock', 'alternativo', 'metal']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.5,0.2,0.1,0.8,0.9,ingles
Hey Jude,The Beatles,"['pop', 'rock', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.8,0.9,0.9,0.2,0.6,ingles
Hit 'Em Up - Single Version,2Pac,"['hip-hop', 'rap', 'urbano']","['agresivo', 'oscuro', 'intenso']","['gym', 'entrenar', 'fiesta']",0.9,0.1,0.8,0.1,0.9,ingles
HORA CERO,Myke Towers,"['reggaeton', 'latin', 'urbano']","['energico', 'motivador', 'fiestero']","['fiesta', 'discoteca', 'social']",0.9,0.8,0.9,0.1,0.8,espanol
Howl's Moving Castle Theme,Kyle Landry,"['instrumental', 'classical', 'soundtrack']","['romantico', 'amoroso', 'sensual']","['casa', 'relax', 'noche']",0.2,0.6,0.1,0.9,0.4,ingles
I Bet You Look Good On The Dancefloor,Arctic Monkeys,"['rock', 'indie', 'punk']","['energico', 'motivador', 'fiestero']","['fiesta', 'discoteca', 'social']",0.8,0.7,0.8,0.2,0.7,ingles
I Don't Wanna Be Me,Type O Negative,"['metal', 'rock', 'singer-songwriter']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.3,0.2,0.1,0.8,0.9,ingles
I Love You So,The Walters,"['pop', 'rock', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['fiesta', 'discoteca', 'social']",0.9,0.9,0.9,0.2,0.6,ingles
I Really Want to Stay at Your House,Rosa Walton,"['indie', 'folk', 'acoustic']","['romantico', 'amoroso', 'sensual']","['casa', 'relax', 'noche']",0.2,0.6,0.1,0.9,0.4,ingles
I Wanna Be Yours,Arctic Monkeys,"['rock', 'indie', 'singer-songwriter']","['romantico', 'amoroso', 'sensual']","['casa', 'relax', 'noche']",0.3,0.6,0.2,0.8,0.5,ingles
I Want It All,Arctic Monkeys,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.5,0.3,0.2,0.1,0.8,ingles
I Will Survive,Gloria Gaynor,"['pop', 'disco', 'r&b']","['feliz', 'euforico', 'sensual']","['fiesta', 'discoteca', 'romance']",0.9,0.8,0.9,0.1,0.6,ingles
Impacto,Enjambre,"['rock', 'punk', 'metal']","['agresivo', 'oscuro', 'intenso']","['gym', 'entrenar', 'fiesta']",0.8,0.2,0.5,0.8,0.9,espanol
Inter de Miami,turrobaby,"['reggaeton', 'urbano', 'latin']","['feliz', 'euforico', 'fiestero']","['fiesta', 'discoteca', 'romance']",0.9,0.8,0.9,0.1,0.6,espanol
Iris,The Goo Goo Dolls,"['rock', 'pop', 'alternativo']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.5,0.3,0.2,0.1,0.8,ingles
It Don't Take Much,The Something Specials,"['ska', 'punk', 'reggae']","['feliz', 'euforico', 'sensual']","['fiesta', 'discoteca', 'romance']",0.9,0.8,0.9,0.1,0.6,ingles
ive made worse mistakes,glaive,"['pop', 'electronic', 'lofi']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.5,0.3,0.2,0.8,0.8,ingles
James Harden,Cyril Kamer,"['hip-hop', 'rap', 'drill']","['agresivo', 'oscuro', 'intenso']","['gym', 'entrenar', 'fiesta']",0.8,0.2,0.5,0.1,0.9,ingles
Jealous,Eyedress,"['pop', 'electronic', 'lofi']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.5,0.3,0.2,0.8,0.8,ingles
Jigsaw Falling Into Place,Radiohead,"['rock', 'electronic', 'alternativo']","['triste', 'melancolico', 'intenso']","['casa', 'relax', 'noche']",0.5,0.3,0.2,0.8,0.8,ingles
Jingle Bells,Robertiño y su Arpa,"['folk', 'acoustic', 'singer-songwriter']","['feliz', 'alegre', 'euforico']","['fiesta', 'casa', 'verano']",0.8,0.9,0.7,0.3,0.5,español
Just A Lil Bit,50 Cent,"['hip-hop', 'rap', 'trap']","['energico', 'motivador', 'agresivo']","['gym', 'entrenar', 'fiesta']",0.9,0.6,0.8,0.2,0.8,inglés
just not sure,kurtains,"['indie', 'alternativo', 'rock']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tarde']",0.4,0.7,0.3,0.6,0.3,inglés
Karma Police,Radiohead,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tarde']",0.5,0.8,0.4,0.7,0.4,inglés
Kilby Girl,The Backseat Lovers,"['indie', 'alternativo', 'rock']","['feliz', 'alegre', 'euforico']","['fiesta', 'casa', 'verano']",0.7,0.9,0.6,0.4,0.6,inglés
KLOuFRENS,Bad Bunny,"['reggaeton', 'latin', 'urbano']","['feliz', 'alegre', 'euforico']","['fiesta', 'casa', 'verano']",0.9,0.9,0.9,0.1,0.9,español
Knee Socks,Arctic Monkeys,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tarde']",0.6,0.8,0.5,0.5,0.5,inglés
La flaca,Jarabe De Palo,"['latin', 'urbano', 'reggaeton']","['feliz', 'alegre', 'euforico']","['fiesta', 'casa', 'verano']",0.9,0.9,0.9,0.1,0.9,español
La Nave del Olvido,José José,"['latin', 'urbano', 'reggaeton']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tarde']",0.5,0.8,0.4,0.6,0.4,español
La vereda de la puerta de atrás,Extremoduro,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'tarde']",0.6,0.8,0.5,0.5,0.5,español
Lay All Your Love On Me,ABBA,"['pop', 'rock']","['feliz', 'euforico']","['fiesta', 'discoteca']",0.8,0.9,0.7,0.1,0.6,inglés
Let Down,Radiohead,"['rock', 'alternativo']","['triste', 'melancolico']","['estudiar', 'trabajar']",0.4,0.2,0.3,0.8,0.7,inglés
Let It Happen,Tame Impala,"['rock', 'indie']","['feliz', 'euforico']","['fiesta', 'discoteca']",0.9,0.8,0.8,0.6,0.9,inglés
LET THE WORLD BURN,Chris Grey,"['rock', 'metal']","['agresivo', 'oscuro']","['gym', 'entrenar']",0.9,0.1,0.4,0.9,0.9,inglés
Let You Break My Heart Again,Laufey,"['pop', 'soul']","['triste', 'melancolico']","['casa', 'relax']",0.5,0.3,0.2,0.2,0.5,inglés
Like Him (feat. Lola Young),"Tyler, The Creator","['hip-hop', 'rap']","['feliz', 'euforico']","['fiesta', 'discoteca']",0.9,0.8,0.8,0.4,0.9,inglés
Line Without a Hook,Ricky Montgomery,"['rock', 'indie']","['feliz', 'euforico']","['fiesta', 'discoteca']",0.8,0.7,0.7,0.5,0.8,inglés
Liquid Smooth - Lumatone Version,Deister Orchestra,"['electronic', 'house']","['relajado', 'calmado']","['relax', 'noche']",0.3,0.5,0.5,0.9,0.4,inglés
Little Illusion Machine (Wirral Riddler),Miles Kane and the Death Ramps,"['rock', 'indie']","['feliz', 'euforico']","['fiesta', 'discoteca']",0.9,0.8,0.8,0.6,0.9,inglés
Little Lies,Fleetwood Mac,"['rock', 'pop']","['feliz', 'euforico']","['fiesta', 'discoteca']",0.8,0.7,0.7,0.5,0.8,inglés
lo que hay x aqui,Rels B,['urbano'],"['triste', 'melancolico']","['casa', 'relax']",0.5,0.3,0.2,0.1,0.7,español
Locked out of Heaven,Bruno Mars,"['pop', 'rock']","['feliz', 'euforico']","['fiesta', 'discoteca']",0.8,0.9,0.9,0.1,0.6,inglés
Locura y Maldad,Cris MJ,['urbano'],"['triste', 'melancolico']","['casa', 'relax']",0.5,0.3,0.2,0.1,0.7,español
Looking Out for You,Joy Again,['indie'],"['feliz', 'euforico']","['fiesta', 'discoteca']",0.8,0.9,0.9,0.1,0.6,inglés
Los Peces en el Rio - beben y beben,Los Villancicos,['latin'],"['feliz', 'euforico']","['fiesta', 'discoteca']",0.8,0.9,0.9,0.1,0.6,español
Lose Yourself,Eminem,['rap'],"['agresivo', 'intenso']","['gym', 'entrenar']",0.9,0.4,0.5,0.2,0.8,inglés
Love is a Laserquest,Arctic Monkeys,['rock'],"['feliz', 'euforico']","['fiesta', 'discoteca']",0.8,0.9,0.9,0.1,0.6,inglés
Love Me Not,Ravyn Lenae,['r&b'],"['romantico', 'amoroso']","['cita', 'romance']",0.6,0.8,0.7,0.3,0.5,inglés
Love The Way You Lie,Eminem,['rap'],"['agresivo', 'intenso']","['gym', 'entrenar']",0.9,0.4,0.5,0.2,0.8,inglés
